codigo_dane,a̱o,minas_interv_mindef
19001,2019,11.0
19001,2020,7.0
19001,2021,10.0
19001,2022,4.0
19001,2023,3.0
19100,2020,6.0
19100,2021,3.0
19110,2020,5.0
19110,2021,31.0
19110,2022,22.0
19256,2019,1.0
19256,2020,1.0
19300,2020,1.0
19318,2023,1.0
19392,2021,2.0
19418,2019,7.0
19418,2020,10.0
19418,2023,11.0
19450,2019,4.0
19450,2022,2.0
19533,2021,1.0
19548,2019,2.0
19573,2019,3.0
19573,2021,1.0
19585,2019,1.0
19585,2020,1.0
19698,2019,16.0
19698,2020,40.0
19698,2021,45.0
19698,2022,111.0
19698,2023,115.0
19809,2019,3.0
19809,2020,15.0
19824,2023,4.0
19845,2019,1.0
