cod_dep_mpio,electrico,acueducto,alcantarillado,gas_natural,recoleccion_basuras,internet,total_viviendas,anio
19001,0.9870726193840068,0.9612296317227088,0.8490392766318169,0.6347341072152171,0.8846778751059622,0.4876935362757601,109583,2019
19022,0.8246790572906687,0.1283770837325158,0.0856485916842307,0.003076923076923077,0.07875071852845372,0.0055769230769230765,7068,2019
19050,0.8985042735042735,0.5017361111111112,0.32532051282051283,0.007081774452164618,0.37272970085470086,0.03246926777124532,8718,2019
19075,0.9546265992264207,0.4656352276108301,0.2897947039571556,0.007156701953183241,0.2546861053257959,0.011187350835322196,8194,2019
19100,0.9159431728492502,0.2389108129439621,0.18500394632991318,0.0033225219523771855,0.1345698500394633,0.01194525749545131,15465,2019
19110,0.860204810669207,0.5197666110978805,0.1653965229816623,0.0050023820867079564,0.053584186711121695,0.02060505002382087,9463,2019
19130,0.8884045335658239,0.34612031386224934,0.08042720139494333,0.05811667030806205,0.07127288578901482,0.01245493280891511,12217,2019
19137,0.9140348737958786,0.7942933788562371,0.09547616144372638,0.003667481662591687,0.09450067064992074,0.020537897310513448,10388,2019
19142,0.92466318394281,0.5400054990376684,0.27508935936211165,0.2552076148434267,0.3834204014297498,0.05368479160916367,8565,2019
19212,0.9693374216771097,0.5759232102386348,0.5643247566991068,0.40964982624966584,0.570057325689908,0.11013098102111735,9101,2019
19256,0.8573125346424895,0.6207142291551192,0.08116240399081479,0.0686095449853093,0.0690474305170639,0.011600190688066106,16852,2019
19290,0.9783519553072626,0.8840782122905028,0.22625698324022347,0.001402524544179523,0.2346368715083799,0.02244039270687237,1928,2019
19300,0.9924798239178283,0.8838958180484225,0.32171680117388113,0.505789376952766,0.5583272193690388,0.0413526925197574,6135,2019
19318,0.516810134805912,0.19148936170212766,0.10329706025661849,0.058932480215524496,0.25548156569758,0.06381178063642519,7057,2019
19355,0.9053576685310568,0.24639387695025022,0.21798645863997645,0.05002226510316164,0.0710921401236385,0.015325100431483411,7893,2019
19364,0.8671228970630168,0.6871970345024238,0.20986598232107215,0.004859919954259577,0.09096093527231251,0.03489702517162471,3993,2019
19392,0.9236517218973359,0.4012345679012346,0.12930474333983105,0.0032552083333333335,0.16114359974009096,0.013346354166666666,3603,2019
19397,0.9547720140299059,0.39652944434188664,0.18848070887945356,0.006516477378514243,0.05427358316411298,0.00558659217877095,7780,2019
19418,0.3614729458917836,0.11623246492985972,0.10896793587174348,0.003433703116745906,0.1124749498997996,0.003490870032223416,4963,2019
19450,0.9489603024574669,0.6675068262969964,0.28733459357277885,0.007379295804343242,0.4049569418189456,0.018975332068311195,7118,2019
19455,0.9784542823453747,0.848215242791296,0.7648193804266267,0.6767741935483871,0.792689462964948,0.13419354838709677,10366,2019
19473,0.7858527131782945,0.5311288759689923,0.08454457364341085,0.06394854993326053,0.07497577519379844,0.010921004732435385,11238,2019
19513,0.9871393812999653,0.9381299965241571,0.6492874522071602,0.3155694879832811,0.5662148070907195,0.025774991292232673,3336,2019
19517,0.796034322820037,0.14053803339517626,0.27435064935064934,0.12366341236634124,0.125,0.013482101348210134,9513,2019
19532,0.909727626459144,0.516064480266815,0.4251250694830461,0.20214190093708165,0.4118954974986103,0.0627162147081799,11648,2019
19533,0.5506445672191529,0.7099447513812155,0.30432780847145485,0.005996309963099631,0.3885819521178637,0.009686346863468635,2816,2019
19548,0.9503774534474082,0.9331655762455964,0.4,0.31434343434343437,0.3569199798691495,0.06585858585858585,12003,2019
19573,0.9976667471236624,0.9696677126076112,0.9404618231555234,0.4870508255098737,0.9660471477995012,0.18509226286824215,13912,2019
19585,0.9327317473338802,0.24036095159967186,0.2245009570686355,0.0035606683100520404,0.10308996445173639,0.006025746370857299,4213,2019
19622,0.9641643497065184,0.4637009576768613,0.14396045721346926,0.10260384376937384,0.12480691998764287,0.007439553626782393,3855,2019
19693,0.9243081027009002,0.5938646215405136,0.2280760253417806,0.003672787979966611,0.0766922307435812,0.007011686143572621,4205,2019
19698,0.9724492258887625,0.8265577049067273,0.5440157235957381,0.35541083552722735,0.5435329816213234,0.22502424830261883,35777,2019
19701,0.8232224396607958,0.2009132420091324,0.19243313763861708,0.00327653997378768,0.1735159817351598,0.007863695937090432,1994,2019
19743,0.9027478789413701,0.3460807901734836,0.19349119918956567,0.10958555809814391,0.15942763074585287,0.036994660564454614,9877,2019
19760,0.9117814456459875,0.47438816163915765,0.11838360842344905,0.0011396011396011395,0.07256687535571998,0.007692307692307693,4580,2019
19780,0.9267983074753173,0.4004231311706629,0.2732016925246826,0.004093154551870148,0.22284908321579688,0.017219477769936486,9580,2019
19785,0.8958038661008958,0.23102310231023102,0.1966053748231966,0.0023618327822390174,0.18104667609618105,0.006613131790269249,2722,2019
19807,0.9658993115318416,0.9307228915662651,0.3953313253012048,0.2939524838012959,0.39769793459552494,0.07203023758099351,11619,2019
19809,0.46089965397923877,0.18252595155709342,0.1555363321799308,0.00437078856310326,0.1759515570934256,0.009599409267122024,6976,2019
19821,0.9584623323013416,0.6754385964912281,0.20149638802889577,0.005684020152435086,0.19427244582043343,0.024544632476424234,8866,2019
19824,0.8927800431758215,0.12353082273926601,0.11009834492684097,0.03413461538461538,0.08659150875509715,0.016826923076923076,5586,2019
19845,0.9881441669301296,0.4976288333860259,0.7157761618716408,0.5628467268980821,0.8335441036990199,0.07196069107624029,7201,2019
19001,0.9870726193840068,0.9612296317227088,0.8490392766318169,0.6347341072152171,0.8846778751059622,0.4876935362757601,109583,2020
19022,0.8246790572906687,0.1283770837325158,0.0856485916842307,0.003076923076923077,0.07875071852845372,0.0055769230769230765,7068,2020
19050,0.8985042735042735,0.5017361111111112,0.32532051282051283,0.007081774452164618,0.37272970085470086,0.03246926777124532,8718,2020
19075,0.9546265992264207,0.4656352276108301,0.2897947039571556,0.007156701953183241,0.2546861053257959,0.011187350835322196,8194,2020
19100,0.9159431728492502,0.2389108129439621,0.18500394632991318,0.0033225219523771855,0.1345698500394633,0.01194525749545131,15465,2020
19110,0.860204810669207,0.5197666110978805,0.1653965229816623,0.0050023820867079564,0.053584186711121695,0.02060505002382087,9463,2020
19130,0.8884045335658239,0.34612031386224934,0.08042720139494333,0.05811667030806205,0.07127288578901482,0.01245493280891511,12217,2020
19137,0.9140348737958786,0.7942933788562371,0.09547616144372638,0.003667481662591687,0.09450067064992074,0.020537897310513448,10388,2020
19142,0.92466318394281,0.5400054990376684,0.27508935936211165,0.2552076148434267,0.3834204014297498,0.05368479160916367,8565,2020
19212,0.9693374216771097,0.5759232102386348,0.5643247566991068,0.40964982624966584,0.570057325689908,0.11013098102111735,9101,2020
19256,0.8573125346424895,0.6207142291551192,0.08116240399081479,0.0686095449853093,0.0690474305170639,0.011600190688066106,16852,2020
19290,0.9783519553072626,0.8840782122905028,0.22625698324022347,0.001402524544179523,0.2346368715083799,0.02244039270687237,1928,2020
19300,0.9924798239178283,0.8838958180484225,0.32171680117388113,0.505789376952766,0.5583272193690388,0.0413526925197574,6135,2020
19318,0.516810134805912,0.19148936170212766,0.10329706025661849,0.058932480215524496,0.25548156569758,0.06381178063642519,7057,2020
19355,0.9053576685310568,0.24639387695025022,0.21798645863997645,0.05002226510316164,0.0710921401236385,0.015325100431483411,7893,2020
19364,0.8671228970630168,0.6871970345024238,0.20986598232107215,0.004859919954259577,0.09096093527231251,0.03489702517162471,3993,2020
19392,0.9236517218973359,0.4012345679012346,0.12930474333983105,0.0032552083333333335,0.16114359974009096,0.013346354166666666,3603,2020
19397,0.9547720140299059,0.39652944434188664,0.18848070887945356,0.006516477378514243,0.05427358316411298,0.00558659217877095,7780,2020
19418,0.3614729458917836,0.11623246492985972,0.10896793587174348,0.003433703116745906,0.1124749498997996,0.003490870032223416,4963,2020
19450,0.9489603024574669,0.6675068262969964,0.28733459357277885,0.007379295804343242,0.4049569418189456,0.018975332068311195,7118,2020
19455,0.9784542823453747,0.848215242791296,0.7648193804266267,0.6767741935483871,0.792689462964948,0.13419354838709677,10366,2020
19473,0.7858527131782945,0.5311288759689923,0.08454457364341085,0.06394854993326053,0.07497577519379844,0.010921004732435385,11238,2020
19513,0.9871393812999653,0.9381299965241571,0.6492874522071602,0.3155694879832811,0.5662148070907195,0.025774991292232673,3336,2020
19517,0.796034322820037,0.14053803339517626,0.27435064935064934,0.12366341236634124,0.125,0.013482101348210134,9513,2020
19532,0.909727626459144,0.516064480266815,0.4251250694830461,0.20214190093708165,0.4118954974986103,0.0627162147081799,11648,2020
19533,0.5506445672191529,0.7099447513812155,0.30432780847145485,0.005996309963099631,0.3885819521178637,0.009686346863468635,2816,2020
19548,0.9503774534474082,0.9331655762455964,0.4,0.31434343434343437,0.3569199798691495,0.06585858585858585,12003,2020
19573,0.9976667471236624,0.9696677126076112,0.9404618231555234,0.4870508255098737,0.9660471477995012,0.18509226286824215,13912,2020
19585,0.9327317473338802,0.24036095159967186,0.2245009570686355,0.0035606683100520404,0.10308996445173639,0.006025746370857299,4213,2020
19622,0.9641643497065184,0.4637009576768613,0.14396045721346926,0.10260384376937384,0.12480691998764287,0.007439553626782393,3855,2020
19693,0.9243081027009002,0.5938646215405136,0.2280760253417806,0.003672787979966611,0.0766922307435812,0.007011686143572621,4205,2020
19698,0.9724492258887625,0.8265577049067273,0.5440157235957381,0.35541083552722735,0.5435329816213234,0.22502424830261883,35777,2020
19701,0.8232224396607958,0.2009132420091324,0.19243313763861708,0.00327653997378768,0.1735159817351598,0.007863695937090432,1994,2020
19743,0.9027478789413701,0.3460807901734836,0.19349119918956567,0.10958555809814391,0.15942763074585287,0.036994660564454614,9877,2020
19760,0.9117814456459875,0.47438816163915765,0.11838360842344905,0.0011396011396011395,0.07256687535571998,0.007692307692307693,4580,2020
19780,0.9267983074753173,0.4004231311706629,0.2732016925246826,0.004093154551870148,0.22284908321579688,0.017219477769936486,9580,2020
19785,0.8958038661008958,0.23102310231023102,0.1966053748231966,0.0023618327822390174,0.18104667609618105,0.006613131790269249,2722,2020
19807,0.9658993115318416,0.9307228915662651,0.3953313253012048,0.2939524838012959,0.39769793459552494,0.07203023758099351,11619,2020
19809,0.46089965397923877,0.18252595155709342,0.1555363321799308,0.00437078856310326,0.1759515570934256,0.009599409267122024,6976,2020
19821,0.9584623323013416,0.6754385964912281,0.20149638802889577,0.005684020152435086,0.19427244582043343,0.024544632476424234,8866,2020
19824,0.8927800431758215,0.12353082273926601,0.11009834492684097,0.03413461538461538,0.08659150875509715,0.016826923076923076,5586,2020
19845,0.9881441669301296,0.4976288333860259,0.7157761618716408,0.5628467268980821,0.8335441036990199,0.07196069107624029,7201,2020
19001,0.9870726193840068,0.9612296317227088,0.8490392766318169,0.6347341072152171,0.8846778751059622,0.4876935362757601,109583,2021
19022,0.8246790572906687,0.1283770837325158,0.0856485916842307,0.003076923076923077,0.07875071852845372,0.0055769230769230765,7068,2021
19050,0.8985042735042735,0.5017361111111112,0.32532051282051283,0.007081774452164618,0.37272970085470086,0.03246926777124532,8718,2021
19075,0.9546265992264207,0.4656352276108301,0.2897947039571556,0.007156701953183241,0.2546861053257959,0.011187350835322196,8194,2021
19100,0.9159431728492502,0.2389108129439621,0.18500394632991318,0.0033225219523771855,0.1345698500394633,0.01194525749545131,15465,2021
19110,0.860204810669207,0.5197666110978805,0.1653965229816623,0.0050023820867079564,0.053584186711121695,0.02060505002382087,9463,2021
19130,0.8884045335658239,0.34612031386224934,0.08042720139494333,0.05811667030806205,0.07127288578901482,0.01245493280891511,12217,2021
19137,0.9140348737958786,0.7942933788562371,0.09547616144372638,0.003667481662591687,0.09450067064992074,0.020537897310513448,10388,2021
19142,0.92466318394281,0.5400054990376684,0.27508935936211165,0.2552076148434267,0.3834204014297498,0.05368479160916367,8565,2021
19212,0.9693374216771097,0.5759232102386348,0.5643247566991068,0.40964982624966584,0.570057325689908,0.11013098102111735,9101,2021
19256,0.8573125346424895,0.6207142291551192,0.08116240399081479,0.0686095449853093,0.0690474305170639,0.011600190688066106,16852,2021
19290,0.9783519553072626,0.8840782122905028,0.22625698324022347,0.001402524544179523,0.2346368715083799,0.02244039270687237,1928,2021
19300,0.9924798239178283,0.8838958180484225,0.32171680117388113,0.505789376952766,0.5583272193690388,0.0413526925197574,6135,2021
19318,0.516810134805912,0.19148936170212766,0.10329706025661849,0.058932480215524496,0.25548156569758,0.06381178063642519,7057,2021
19355,0.9053576685310568,0.24639387695025022,0.21798645863997645,0.05002226510316164,0.0710921401236385,0.015325100431483411,7893,2021
19364,0.8671228970630168,0.6871970345024238,0.20986598232107215,0.004859919954259577,0.09096093527231251,0.03489702517162471,3993,2021
19392,0.9236517218973359,0.4012345679012346,0.12930474333983105,0.0032552083333333335,0.16114359974009096,0.013346354166666666,3603,2021
19397,0.9547720140299059,0.39652944434188664,0.18848070887945356,0.006516477378514243,0.05427358316411298,0.00558659217877095,7780,2021
19418,0.3614729458917836,0.11623246492985972,0.10896793587174348,0.003433703116745906,0.1124749498997996,0.003490870032223416,4963,2021
19450,0.9489603024574669,0.6675068262969964,0.28733459357277885,0.007379295804343242,0.4049569418189456,0.018975332068311195,7118,2021
19455,0.9784542823453747,0.848215242791296,0.7648193804266267,0.6767741935483871,0.792689462964948,0.13419354838709677,10366,2021
19473,0.7858527131782945,0.5311288759689923,0.08454457364341085,0.06394854993326053,0.07497577519379844,0.010921004732435385,11238,2021
19513,0.9871393812999653,0.9381299965241571,0.6492874522071602,0.3155694879832811,0.5662148070907195,0.025774991292232673,3336,2021
19517,0.796034322820037,0.14053803339517626,0.27435064935064934,0.12366341236634124,0.125,0.013482101348210134,9513,2021
19532,0.909727626459144,0.516064480266815,0.4251250694830461,0.20214190093708165,0.4118954974986103,0.0627162147081799,11648,2021
19533,0.5506445672191529,0.7099447513812155,0.30432780847145485,0.005996309963099631,0.3885819521178637,0.009686346863468635,2816,2021
19548,0.9503774534474082,0.9331655762455964,0.4,0.31434343434343437,0.3569199798691495,0.06585858585858585,12003,2021
19573,0.9976667471236624,0.9696677126076112,0.9404618231555234,0.4870508255098737,0.9660471477995012,0.18509226286824215,13912,2021
19585,0.9327317473338802,0.24036095159967186,0.2245009570686355,0.0035606683100520404,0.10308996445173639,0.006025746370857299,4213,2021
19622,0.9641643497065184,0.4637009576768613,0.14396045721346926,0.10260384376937384,0.12480691998764287,0.007439553626782393,3855,2021
19693,0.9243081027009002,0.5938646215405136,0.2280760253417806,0.003672787979966611,0.0766922307435812,0.007011686143572621,4205,2021
19698,0.9724492258887625,0.8265577049067273,0.5440157235957381,0.35541083552722735,0.5435329816213234,0.22502424830261883,35777,2021
19701,0.8232224396607958,0.2009132420091324,0.19243313763861708,0.00327653997378768,0.1735159817351598,0.007863695937090432,1994,2021
19743,0.9027478789413701,0.3460807901734836,0.19349119918956567,0.10958555809814391,0.15942763074585287,0.036994660564454614,9877,2021
19760,0.9117814456459875,0.47438816163915765,0.11838360842344905,0.0011396011396011395,0.07256687535571998,0.007692307692307693,4580,2021
19780,0.9267983074753173,0.4004231311706629,0.2732016925246826,0.004093154551870148,0.22284908321579688,0.017219477769936486,9580,2021
19785,0.8958038661008958,0.23102310231023102,0.1966053748231966,0.0023618327822390174,0.18104667609618105,0.006613131790269249,2722,2021
19807,0.9658993115318416,0.9307228915662651,0.3953313253012048,0.2939524838012959,0.39769793459552494,0.07203023758099351,11619,2021
19809,0.46089965397923877,0.18252595155709342,0.1555363321799308,0.00437078856310326,0.1759515570934256,0.009599409267122024,6976,2021
19821,0.9584623323013416,0.6754385964912281,0.20149638802889577,0.005684020152435086,0.19427244582043343,0.024544632476424234,8866,2021
19824,0.8927800431758215,0.12353082273926601,0.11009834492684097,0.03413461538461538,0.08659150875509715,0.016826923076923076,5586,2021
19845,0.9881441669301296,0.4976288333860259,0.7157761618716408,0.5628467268980821,0.8335441036990199,0.07196069107624029,7201,2021
19001,0.9870726193840068,0.9612296317227088,0.8490392766318169,0.6347341072152171,0.8846778751059622,0.4876935362757601,109583,2022
19022,0.8246790572906687,0.1283770837325158,0.0856485916842307,0.003076923076923077,0.07875071852845372,0.0055769230769230765,7068,2022
19050,0.8985042735042735,0.5017361111111112,0.32532051282051283,0.007081774452164618,0.37272970085470086,0.03246926777124532,8718,2022
19075,0.9546265992264207,0.4656352276108301,0.2897947039571556,0.007156701953183241,0.2546861053257959,0.011187350835322196,8194,2022
19100,0.9159431728492502,0.2389108129439621,0.18500394632991318,0.0033225219523771855,0.1345698500394633,0.01194525749545131,15465,2022
19110,0.860204810669207,0.5197666110978805,0.1653965229816623,0.0050023820867079564,0.053584186711121695,0.02060505002382087,9463,2022
19130,0.8884045335658239,0.34612031386224934,0.08042720139494333,0.05811667030806205,0.07127288578901482,0.01245493280891511,12217,2022
19137,0.9140348737958786,0.7942933788562371,0.09547616144372638,0.003667481662591687,0.09450067064992074,0.020537897310513448,10388,2022
19142,0.92466318394281,0.5400054990376684,0.27508935936211165,0.2552076148434267,0.3834204014297498,0.05368479160916367,8565,2022
19212,0.9693374216771097,0.5759232102386348,0.5643247566991068,0.40964982624966584,0.570057325689908,0.11013098102111735,9101,2022
19256,0.8573125346424895,0.6207142291551192,0.08116240399081479,0.0686095449853093,0.0690474305170639,0.011600190688066106,16852,2022
19290,0.9783519553072626,0.8840782122905028,0.22625698324022347,0.001402524544179523,0.2346368715083799,0.02244039270687237,1928,2022
19300,0.9924798239178283,0.8838958180484225,0.32171680117388113,0.505789376952766,0.5583272193690388,0.0413526925197574,6135,2022
19318,0.516810134805912,0.19148936170212766,0.10329706025661849,0.058932480215524496,0.25548156569758,0.06381178063642519,7057,2022
19355,0.9053576685310568,0.24639387695025022,0.21798645863997645,0.05002226510316164,0.0710921401236385,0.015325100431483411,7893,2022
19364,0.8671228970630168,0.6871970345024238,0.20986598232107215,0.004859919954259577,0.09096093527231251,0.03489702517162471,3993,2022
19392,0.9236517218973359,0.4012345679012346,0.12930474333983105,0.0032552083333333335,0.16114359974009096,0.013346354166666666,3603,2022
19397,0.9547720140299059,0.39652944434188664,0.18848070887945356,0.006516477378514243,0.05427358316411298,0.00558659217877095,7780,2022
19418,0.3614729458917836,0.11623246492985972,0.10896793587174348,0.003433703116745906,0.1124749498997996,0.003490870032223416,4963,2022
19450,0.9489603024574669,0.6675068262969964,0.28733459357277885,0.007379295804343242,0.4049569418189456,0.018975332068311195,7118,2022
19455,0.9784542823453747,0.848215242791296,0.7648193804266267,0.6767741935483871,0.792689462964948,0.13419354838709677,10366,2022
19473,0.7858527131782945,0.5311288759689923,0.08454457364341085,0.06394854993326053,0.07497577519379844,0.010921004732435385,11238,2022
19513,0.9871393812999653,0.9381299965241571,0.6492874522071602,0.3155694879832811,0.5662148070907195,0.025774991292232673,3336,2022
19517,0.796034322820037,0.14053803339517626,0.27435064935064934,0.12366341236634124,0.125,0.013482101348210134,9513,2022
19532,0.909727626459144,0.516064480266815,0.4251250694830461,0.20214190093708165,0.4118954974986103,0.0627162147081799,11648,2022
19533,0.5506445672191529,0.7099447513812155,0.30432780847145485,0.005996309963099631,0.3885819521178637,0.009686346863468635,2816,2022
19548,0.9503774534474082,0.9331655762455964,0.4,0.31434343434343437,0.3569199798691495,0.06585858585858585,12003,2022
19573,0.9976667471236624,0.9696677126076112,0.9404618231555234,0.4870508255098737,0.9660471477995012,0.18509226286824215,13912,2022
19585,0.9327317473338802,0.24036095159967186,0.2245009570686355,0.0035606683100520404,0.10308996445173639,0.006025746370857299,4213,2022
19622,0.9641643497065184,0.4637009576768613,0.14396045721346926,0.10260384376937384,0.12480691998764287,0.007439553626782393,3855,2022
19693,0.9243081027009002,0.5938646215405136,0.2280760253417806,0.003672787979966611,0.0766922307435812,0.007011686143572621,4205,2022
19698,0.9724492258887625,0.8265577049067273,0.5440157235957381,0.35541083552722735,0.5435329816213234,0.22502424830261883,35777,2022
19701,0.8232224396607958,0.2009132420091324,0.19243313763861708,0.00327653997378768,0.1735159817351598,0.007863695937090432,1994,2022
19743,0.9027478789413701,0.3460807901734836,0.19349119918956567,0.10958555809814391,0.15942763074585287,0.036994660564454614,9877,2022
19760,0.9117814456459875,0.47438816163915765,0.11838360842344905,0.0011396011396011395,0.07256687535571998,0.007692307692307693,4580,2022
19780,0.9267983074753173,0.4004231311706629,0.2732016925246826,0.004093154551870148,0.22284908321579688,0.017219477769936486,9580,2022
19785,0.8958038661008958,0.23102310231023102,0.1966053748231966,0.0023618327822390174,0.18104667609618105,0.006613131790269249,2722,2022
19807,0.9658993115318416,0.9307228915662651,0.3953313253012048,0.2939524838012959,0.39769793459552494,0.07203023758099351,11619,2022
19809,0.46089965397923877,0.18252595155709342,0.1555363321799308,0.00437078856310326,0.1759515570934256,0.009599409267122024,6976,2022
19821,0.9584623323013416,0.6754385964912281,0.20149638802889577,0.005684020152435086,0.19427244582043343,0.024544632476424234,8866,2022
19824,0.8927800431758215,0.12353082273926601,0.11009834492684097,0.03413461538461538,0.08659150875509715,0.016826923076923076,5586,2022
19845,0.9881441669301296,0.4976288333860259,0.7157761618716408,0.5628467268980821,0.8335441036990199,0.07196069107624029,7201,2022
19001,0.9870726193840068,0.9612296317227088,0.8490392766318169,0.6347341072152171,0.8846778751059622,0.4876935362757601,109583,2023
19022,0.8246790572906687,0.1283770837325158,0.0856485916842307,0.003076923076923077,0.07875071852845372,0.0055769230769230765,7068,2023
19050,0.8985042735042735,0.5017361111111112,0.32532051282051283,0.007081774452164618,0.37272970085470086,0.03246926777124532,8718,2023
19075,0.9546265992264207,0.4656352276108301,0.2897947039571556,0.007156701953183241,0.2546861053257959,0.011187350835322196,8194,2023
19100,0.9159431728492502,0.2389108129439621,0.18500394632991318,0.0033225219523771855,0.1345698500394633,0.01194525749545131,15465,2023
19110,0.860204810669207,0.5197666110978805,0.1653965229816623,0.0050023820867079564,0.053584186711121695,0.02060505002382087,9463,2023
19130,0.8884045335658239,0.34612031386224934,0.08042720139494333,0.05811667030806205,0.07127288578901482,0.01245493280891511,12217,2023
19137,0.9140348737958786,0.7942933788562371,0.09547616144372638,0.003667481662591687,0.09450067064992074,0.020537897310513448,10388,2023
19142,0.92466318394281,0.5400054990376684,0.27508935936211165,0.2552076148434267,0.3834204014297498,0.05368479160916367,8565,2023
19212,0.9693374216771097,0.5759232102386348,0.5643247566991068,0.40964982624966584,0.570057325689908,0.11013098102111735,9101,2023
19256,0.8573125346424895,0.6207142291551192,0.08116240399081479,0.0686095449853093,0.0690474305170639,0.011600190688066106,16852,2023
19290,0.9783519553072626,0.8840782122905028,0.22625698324022347,0.001402524544179523,0.2346368715083799,0.02244039270687237,1928,2023
19300,0.9924798239178283,0.8838958180484225,0.32171680117388113,0.505789376952766,0.5583272193690388,0.0413526925197574,6135,2023
19318,0.516810134805912,0.19148936170212766,0.10329706025661849,0.058932480215524496,0.25548156569758,0.06381178063642519,7057,2023
19355,0.9053576685310568,0.24639387695025022,0.21798645863997645,0.05002226510316164,0.0710921401236385,0.015325100431483411,7893,2023
19364,0.8671228970630168,0.6871970345024238,0.20986598232107215,0.004859919954259577,0.09096093527231251,0.03489702517162471,3993,2023
19392,0.9236517218973359,0.4012345679012346,0.12930474333983105,0.0032552083333333335,0.16114359974009096,0.013346354166666666,3603,2023
19397,0.9547720140299059,0.39652944434188664,0.18848070887945356,0.006516477378514243,0.05427358316411298,0.00558659217877095,7780,2023
19418,0.3614729458917836,0.11623246492985972,0.10896793587174348,0.003433703116745906,0.1124749498997996,0.003490870032223416,4963,2023
19450,0.9489603024574669,0.6675068262969964,0.28733459357277885,0.007379295804343242,0.4049569418189456,0.018975332068311195,7118,2023
19455,0.9784542823453747,0.848215242791296,0.7648193804266267,0.6767741935483871,0.792689462964948,0.13419354838709677,10366,2023
19473,0.7858527131782945,0.5311288759689923,0.08454457364341085,0.06394854993326053,0.07497577519379844,0.010921004732435385,11238,2023
19513,0.9871393812999653,0.9381299965241571,0.6492874522071602,0.3155694879832811,0.5662148070907195,0.025774991292232673,3336,2023
19517,0.796034322820037,0.14053803339517626,0.27435064935064934,0.12366341236634124,0.125,0.013482101348210134,9513,2023
19532,0.909727626459144,0.516064480266815,0.4251250694830461,0.20214190093708165,0.4118954974986103,0.0627162147081799,11648,2023
19533,0.5506445672191529,0.7099447513812155,0.30432780847145485,0.005996309963099631,0.3885819521178637,0.009686346863468635,2816,2023
19548,0.9503774534474082,0.9331655762455964,0.4,0.31434343434343437,0.3569199798691495,0.06585858585858585,12003,2023
19573,0.9976667471236624,0.9696677126076112,0.9404618231555234,0.4870508255098737,0.9660471477995012,0.18509226286824215,13912,2023
19585,0.9327317473338802,0.24036095159967186,0.2245009570686355,0.0035606683100520404,0.10308996445173639,0.006025746370857299,4213,2023
19622,0.9641643497065184,0.4637009576768613,0.14396045721346926,0.10260384376937384,0.12480691998764287,0.007439553626782393,3855,2023
19693,0.9243081027009002,0.5938646215405136,0.2280760253417806,0.003672787979966611,0.0766922307435812,0.007011686143572621,4205,2023
19698,0.9724492258887625,0.8265577049067273,0.5440157235957381,0.35541083552722735,0.5435329816213234,0.22502424830261883,35777,2023
19701,0.8232224396607958,0.2009132420091324,0.19243313763861708,0.00327653997378768,0.1735159817351598,0.007863695937090432,1994,2023
19743,0.9027478789413701,0.3460807901734836,0.19349119918956567,0.10958555809814391,0.15942763074585287,0.036994660564454614,9877,2023
19760,0.9117814456459875,0.47438816163915765,0.11838360842344905,0.0011396011396011395,0.07256687535571998,0.007692307692307693,4580,2023
19780,0.9267983074753173,0.4004231311706629,0.2732016925246826,0.004093154551870148,0.22284908321579688,0.017219477769936486,9580,2023
19785,0.8958038661008958,0.23102310231023102,0.1966053748231966,0.0023618327822390174,0.18104667609618105,0.006613131790269249,2722,2023
19807,0.9658993115318416,0.9307228915662651,0.3953313253012048,0.2939524838012959,0.39769793459552494,0.07203023758099351,11619,2023
19809,0.46089965397923877,0.18252595155709342,0.1555363321799308,0.00437078856310326,0.1759515570934256,0.009599409267122024,6976,2023
19821,0.9584623323013416,0.6754385964912281,0.20149638802889577,0.005684020152435086,0.19427244582043343,0.024544632476424234,8866,2023
19824,0.8927800431758215,0.12353082273926601,0.11009834492684097,0.03413461538461538,0.08659150875509715,0.016826923076923076,5586,2023
19845,0.9881441669301296,0.4976288333860259,0.7157761618716408,0.5628467268980821,0.8335441036990199,0.07196069107624029,7201,2023
