codigo_dane,year_of_incident,indiciados_fisc_amenazas,indiciados_fisc_delitos_sexuales,indiciados_fisc_desaparicion_forzada,indiciados_fisc_desplazamiento,indiciados_fisc_estafa,indiciados_fisc_extorsion,indiciados_fisc_hurto,indiciados_fisc_dih,indiciados_fisc_reclutamiento_ilicito,indiciados_fisc_violencia_intrafamiliar,indiciados_fisc_corrupcion,indiciados_fisc_homicidios,indiciados_fisc_lesiones_personales,indiciados_fisc_secuestro,indiciados_fisc_otros_delitos
19001,2019,372.0,335.0,12.0,0.0,462.0,127.0,1703.0,1.0,0.0,1820.0,413.0,147.0,2133.0,161.0,4744.0
19001,2020,267.0,287.0,2.0,10.0,418.0,104.0,1191.0,0.0,1.0,1334.0,298.0,170.0,1149.0,50.0,3497.0
19001,2021,336.0,261.0,3.0,3.0,821.0,50.0,1189.0,0.0,1.0,1312.0,272.0,190.0,1216.0,8.0,3582.0
19001,2022,411.0,258.0,0.0,5.0,912.0,76.0,1661.0,2.0,3.0,1394.0,233.0,213.0,1586.0,28.0,4212.0
19001,2023,477.0,222.0,4.0,5.0,492.0,82.0,1519.0,8.0,3.0,1543.0,176.0,175.0,1463.0,11.0,3760.0
19022,2019,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,16.0,0.0,37.0
19022,2020,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,4.0,1.0,39.0
19022,2021,0.0,5.0,0.0,0.0,10.0,2.0,7.0,0.0,0.0,27.0,4.0,0.0,24.0,0.0,44.0
19022,2022,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,10.0,0.0,30.0
19022,2023,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,10.0,0.0,53.0
19050,2019,5.0,19.0,8.0,4.0,1.0,3.0,2.0,4.0,0.0,11.0,16.0,4.0,9.0,0.0,64.0
19050,2020,16.0,11.0,1.0,8.0,2.0,2.0,0.0,13.0,1.0,11.0,0.0,19.0,4.0,0.0,43.0
19050,2021,42.0,8.0,21.0,39.0,3.0,1.0,0.0,32.0,0.0,22.0,0.0,53.0,27.0,16.0,114.0
19050,2022,13.0,29.0,0.0,10.0,27.0,0.0,2.0,9.0,5.0,10.0,1.0,53.0,9.0,0.0,119.0
19050,2023,5.0,13.0,0.0,8.0,3.0,0.0,1.0,12.0,2.0,11.0,1.0,24.0,7.0,0.0,55.0
19075,2019,10.0,8.0,0.0,0.0,5.0,5.0,12.0,0.0,0.0,17.0,14.0,16.0,18.0,1.0,80.0
19075,2020,5.0,6.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,11.0,0.0,8.0,7.0,2.0,33.0
19075,2021,5.0,10.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,27.0,0.0,3.0,11.0,0.0,39.0
19075,2022,2.0,7.0,0.0,3.0,3.0,0.0,4.0,16.0,0.0,16.0,1.0,7.0,27.0,3.0,47.0
19075,2023,2.0,10.0,0.0,3.0,5.0,0.0,8.0,2.0,0.0,11.0,2.0,17.0,28.0,0.0,130.0
19100,2019,4.0,9.0,0.0,1.0,8.0,1.0,5.0,7.0,0.0,20.0,7.0,4.0,67.0,0.0,109.0
19100,2020,2.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,18.0,0.0,5.0,36.0,0.0,30.0
19100,2021,5.0,8.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,20.0,0.0,2.0,28.0,0.0,55.0
19100,2022,2.0,12.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,32.0,3.0,10.0,29.0,0.0,67.0
19100,2023,8.0,11.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,46.0,2.0,16.0,30.0,0.0,98.0
19110,2019,5.0,10.0,2.0,5.0,3.0,0.0,7.0,0.0,3.0,25.0,9.0,17.0,62.0,1.0,65.0
19110,2020,139.0,13.0,60.0,74.0,1.0,72.0,292.0,0.0,0.0,20.0,5.0,210.0,20.0,0.0,581.0
19110,2021,43.0,19.0,0.0,34.0,5.0,13.0,15.0,14.0,2.0,26.0,11.0,35.0,36.0,0.0,149.0
19110,2022,49.0,10.0,16.0,69.0,2.0,17.0,19.0,13.0,17.0,17.0,1.0,44.0,19.0,17.0,163.0
19110,2023,7.0,7.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,6.0,1.0,12.0,11.0,0.0,46.0
19130,2019,8.0,41.0,1.0,0.0,10.0,2.0,18.0,2.0,0.0,67.0,4.0,9.0,85.0,0.0,129.0
19130,2020,9.0,25.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,42.0,4.0,6.0,36.0,0.0,68.0
19130,2021,81.0,24.0,0.0,52.0,18.0,48.0,41.0,23.0,23.0,74.0,1.0,28.0,68.0,0.0,165.0
19130,2022,23.0,30.0,0.0,3.0,24.0,3.0,16.0,0.0,0.0,68.0,4.0,10.0,53.0,0.0,109.0
19130,2023,30.0,28.0,0.0,2.0,25.0,6.0,20.0,6.0,0.0,53.0,3.0,13.0,67.0,2.0,193.0
19137,2019,1.0,28.0,0.0,0.0,9.0,2.0,11.0,0.0,0.0,22.0,1.0,5.0,32.0,8.0,43.0
19137,2020,2.0,21.0,0.0,6.0,2.0,4.0,5.0,0.0,0.0,13.0,3.0,5.0,33.0,0.0,80.0
19137,2021,17.0,12.0,0.0,0.0,8.0,2.0,19.0,0.0,2.0,18.0,8.0,25.0,21.0,0.0,62.0
19137,2022,10.0,15.0,0.0,1.0,15.0,1.0,5.0,0.0,0.0,33.0,1.0,23.0,25.0,0.0,43.0
19137,2023,28.0,15.0,0.0,3.0,7.0,0.0,5.0,3.0,2.0,50.0,0.0,18.0,39.0,1.0,93.0
19142,2019,29.0,12.0,3.0,1.0,9.0,0.0,8.0,0.0,0.0,90.0,4.0,32.0,94.0,2.0,251.0
19142,2020,19.0,11.0,0.0,0.0,13.0,3.0,10.0,5.0,0.0,70.0,6.0,16.0,36.0,8.0,116.0
19142,2021,26.0,13.0,1.0,1.0,29.0,2.0,19.0,23.0,0.0,70.0,5.0,16.0,53.0,13.0,138.0
19142,2022,19.0,7.0,0.0,4.0,71.0,1.0,15.0,3.0,1.0,65.0,0.0,32.0,66.0,0.0,111.0
19142,2023,10.0,16.0,21.0,3.0,12.0,2.0,23.0,2.0,1.0,48.0,2.0,55.0,47.0,0.0,166.0
19212,2019,9.0,5.0,2.0,4.0,3.0,3.0,5.0,74.0,1.0,29.0,4.0,8.0,29.0,0.0,161.0
19212,2020,25.0,11.0,0.0,23.0,15.0,7.0,12.0,138.0,7.0,44.0,8.0,6.0,101.0,16.0,430.0
19212,2021,4.0,7.0,0.0,5.0,7.0,17.0,19.0,35.0,1.0,19.0,9.0,47.0,18.0,31.0,282.0
19212,2022,3.0,13.0,0.0,3.0,8.0,1.0,7.0,1.0,2.0,14.0,5.0,40.0,8.0,0.0,121.0
19212,2023,60.0,4.0,0.0,3.0,12.0,2.0,9.0,0.0,2.0,40.0,4.0,85.0,30.0,21.0,322.0
19256,2019,100.0,59.0,26.0,28.0,6.0,0.0,60.0,14.0,0.0,54.0,30.0,79.0,127.0,2.0,438.0
19256,2020,34.0,32.0,2.0,25.0,7.0,1.0,12.0,5.0,1.0,81.0,1.0,56.0,61.0,30.0,252.0
19256,2021,30.0,32.0,1.0,0.0,10.0,3.0,17.0,2.0,2.0,39.0,7.0,23.0,45.0,0.0,181.0
19256,2022,68.0,18.0,21.0,25.0,16.0,45.0,97.0,0.0,19.0,39.0,21.0,52.0,69.0,11.0,290.0
19256,2023,28.0,22.0,0.0,8.0,23.0,6.0,26.0,0.0,2.0,64.0,6.0,32.0,57.0,0.0,232.0
19290,2019,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,0.0,18.0
19290,2020,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,7.0
19290,2021,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,11.0,0.0,17.0
19290,2022,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,0.0,8.0
19290,2023,13.0,5.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,5.0,8.0,3.0,3.0,0.0,19.0
19300,2019,22.0,7.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,50.0,3.0,15.0,96.0,0.0,140.0
19300,2020,14.0,10.0,0.0,11.0,10.0,0.0,63.0,9.0,0.0,52.0,2.0,7.0,75.0,1.0,205.0
19300,2021,10.0,12.0,0.0,0.0,11.0,0.0,32.0,0.0,0.0,63.0,3.0,28.0,65.0,0.0,145.0
19300,2022,17.0,14.0,0.0,0.0,18.0,3.0,28.0,0.0,0.0,34.0,0.0,15.0,80.0,0.0,85.0
19300,2023,26.0,9.0,0.0,2.0,4.0,1.0,45.0,0.0,0.0,33.0,4.0,36.0,84.0,0.0,86.0
19318,2019,22.0,12.0,0.0,2.0,7.0,3.0,8.0,13.0,0.0,21.0,5.0,29.0,41.0,6.0,148.0
19318,2020,4.0,10.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,6.0,14.0,14.0,0.0,51.0
19318,2021,10.0,18.0,2.0,3.0,20.0,2.0,2.0,13.0,1.0,15.0,4.0,4.0,21.0,0.0,49.0
19318,2022,30.0,4.0,0.0,17.0,12.0,0.0,0.0,0.0,6.0,20.0,7.0,15.0,29.0,0.0,49.0
19318,2023,5.0,10.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,27.0,3.0,9.0,10.0,0.0,40.0
19355,2019,11.0,11.0,0.0,3.0,4.0,1.0,7.0,0.0,0.0,24.0,1.0,5.0,21.0,0.0,78.0
19355,2020,13.0,19.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,35.0,2.0,6.0,14.0,0.0,38.0
19355,2021,10.0,17.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,39.0,0.0,7.0,22.0,1.0,51.0
19355,2022,8.0,25.0,0.0,1.0,7.0,0.0,5.0,1.0,2.0,39.0,0.0,6.0,31.0,2.0,53.0
19355,2023,11.0,10.0,0.0,4.0,3.0,1.0,8.0,0.0,4.0,47.0,0.0,6.0,42.0,1.0,52.0
19364,2019,2.0,11.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,47.0
19364,2020,7.0,6.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,41.0
19364,2021,4.0,7.0,0.0,5.0,12.0,1.0,2.0,1.0,0.0,8.0,0.0,2.0,5.0,0.0,19.0
19364,2022,10.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,0.0,33.0
19364,2023,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,7.0,1.0,7.0,11.0,1.0,20.0
19392,2019,1.0,9.0,0.0,0.0,1.0,0.0,41.0,0.0,0.0,18.0,2.0,7.0,21.0,0.0,33.0
19392,2020,2.0,7.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,16.0,3.0,5.0,12.0,0.0,28.0
19392,2021,4.0,9.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,20.0,4.0,4.0,27.0,0.0,46.0
19392,2022,3.0,5.0,0.0,3.0,4.0,0.0,19.0,0.0,0.0,16.0,1.0,4.0,11.0,0.0,41.0
19392,2023,1.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,14.0,1.0,5.0,12.0,1.0,43.0
19397,2019,7.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,4.0,4.0,70.0,0.0,138.0
19397,2020,5.0,4.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,36.0,0.0,119.0
19397,2021,4.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,50.0,3.0,8.0,41.0,0.0,112.0
19397,2022,9.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,4.0,3.0,34.0,0.0,86.0
19397,2023,16.0,5.0,0.0,3.0,3.0,0.0,8.0,0.0,0.0,19.0,3.0,4.0,25.0,0.0,141.0
19418,2019,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,44.0
19418,2020,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0,0.0,3.0
19418,2021,15.0,1.0,11.0,13.0,2.0,2.0,0.0,0.0,11.0,7.0,2.0,1.0,1.0,0.0,110.0
19418,2022,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,14.0
19418,2023,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,13.0
19450,2019,12.0,19.0,0.0,1.0,5.0,3.0,15.0,0.0,0.0,23.0,3.0,4.0,50.0,0.0,72.0
19450,2020,14.0,10.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,28.0,4.0,18.0,22.0,0.0,150.0
19450,2021,5.0,4.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0,24.0,12.0,8.0,27.0,0.0,82.0
19450,2022,13.0,4.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,33.0,1.0,10.0,28.0,0.0,76.0
19450,2023,12.0,8.0,0.0,3.0,3.0,0.0,18.0,0.0,0.0,13.0,2.0,8.0,23.0,0.0,105.0
19455,2019,34.0,21.0,0.0,0.0,5.0,0.0,28.0,18.0,0.0,41.0,5.0,9.0,95.0,1.0,183.0
